id,author,title,description,url,urlToImage,publishedAt,content,sources
20,Andrew J. Hawkins,VW’s Electrify America unveils new ‘human-centered’ EV charging stations,"Electrify America, VW’s EV charging subsidiary, says it will build new lounge-style EV charging stations in California and New York.",https://www.theverge.com/2022/3/24/22994302/vw-volkswagen-electrify-america-ev-charging-station-design-ca-ny,https://cdn.vox-cdn.com/thumbor/V7ljkPV7q20gYTU7fSDQF11Dlsw=/0x38:1920x1043/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23341896/Electrify_America___The_Future_of_EV_Charging_Stations.jpg,2022-03-24T14:00:00Z,"Gas station meets Sky Club Lounge 
Electrify America
Electrify America, the electric vehicle charging company thats a subsidiary of Volkswagen, announced plans to install new human-centered chargin… [+4269 chars]",The Verge
21,,"Tesla delivers record vehicles in Q1, beats analysts' estimates - Reuters","Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> on Saturday reported record electric vehicle deliveries for the first quarter, but its production fell from the previous quarter as supply chain disruptions and a China …",https://www.reuters.com/business/autos-transportation/tesla-delivers-record-vehicles-q1-beats-analysts-estimates-2022-04-02/,https://www.reuters.com/resizer/fOfKNB_8_GX7K6aQysr4tdeu9-8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/RCJZUI3APROEHPCAJEHXSP2664.jpg,2022-04-02T16:20:00Z,"April 2 (Reuters) - Tesla Inc (TSLA.O) on Saturday reported record electric vehicle deliveries for the first quarter, but its production fell from the previous quarter as supply chain disruptions and… [+1345 chars]",Reuters
22,,Tesla extends Shanghai plant suspension amid lockdown -internal notice - Reuters.com,"Tesla <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> is extending a production halt at its Shanghai factory for at least one day, an internal notice seen by Reuters showed.",https://www.reuters.com/business/autos-transportation/tesla-extends-shanghai-plant-suspension-amid-lockdown-internal-notice-2022-03-31/,https://www.reuters.com/resizer/K0m04dztikZ5bZzBEUvXjdEeXIo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KFDWY3LTTVICVBDJKNPGOTM2RY.jpg,2022-03-31T08:17:00Z,"SHANGHAI, March 31 (Reuters) - Tesla (TSLA.O) is extending a production halt at its Shanghai factory for at least one day, an internal notice seen by Reuters showed.
The Shanghai factory, located in… [+1405 chars]",Reuters
23,,"Futures inch higher as oil eases, Tesla gains - Reuters.com","U.S. stock index futures inched higher on Monday as oil prices slid and investors remained hopeful about progress in the Russia-Ukraine peace talks, while Tesla shares jumped after the company sought investor approval for a stock split.",https://www.reuters.com/business/futures-inch-higher-oil-eases-tesla-gains-2022-03-28/,https://www.reuters.com/resizer/dgiPgD_GXCDQZAKwK7634X8JjRk=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NA5EATQ5OBIVXIZ3PLQDJAIWXQ.jpg,2022-03-28T12:04:00Z,"March 28 (Reuters) - U.S. stock index futures inched higher on Monday as oil prices slid and investors remained hopeful about progress in the Russia-Ukraine peace talks, while Tesla shares jumped aft… [+2040 chars]",Reuters
24,,Tesla to open Texas factory critical to growth ambitions - Reuters,"Tesla Inc <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> will on Thursday hold an event to mark the opening of its $1.1 billion factory in Texas, which will help ramp up production of electric vehicles and batteries critical t…",https://www.reuters.com/business/autos-transportation/tesla-open-texas-factory-critical-growth-ambitions-2022-04-07/,https://www.reuters.com/resizer/sYiSlRQ5OMVFMues8N7bTnK3SPo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/TFZW5373QJLFVITYN2LM5QEUVU.jpg,2022-04-07T13:05:00Z,"SAN FRANCISCO, April 7 (Reuters) - Tesla Inc (TSLA.O) will on Thursday hold an event to mark the opening of its $1.1 billion factory in Texas, which will help ramp up production of electric vehicles … [+2971 chars]",Reuters
25,,Tesla adds to wave of megacap stock splits - Reuters,"Tesla's <a href=""https://www.reuters.com/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> announcement on Monday that it will seek shareholder approval to increase its share count in order to enable a stock split adds to a recent wave of megacap companies split…",https://www.reuters.com/business/autos-transportation/tesla-adds-wave-megacap-stock-splits-2022-03-28/,https://www.reuters.com/resizer/LXEwaf1X8dH35zJ7wS9fzLaQNt8=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/A6J47YM3RVOCXMNQDC453GF5VU.jpg,2022-03-28T19:36:00Z,March 28 (Reuters) - Tesla's (TSLA.O) announcement on Monday that it will seek shareholder approval to increase its share count in order to enable a stock split adds to a recent wave of megacap compa… [+2588 chars],Reuters
26,Reuters Editorial,Tesla to seek shareholder approval for stock split - Reuters.com,"Tesla will seek investor approval to increase its number of shares to enable a stock split in the form of a dividend, the electric-car maker said on Monday, sending its shares up about 5%. This report produced by Jonah Green.",https://www.reuters.com/video/watch/idOV798528032022RP1,https://static.reuters.com/resources/r/?d=20220328&i=OV798528032022RP1&r=OV798528032022RP1&t=2,2022-03-28T17:24:04Z,"Posted 
Tesla will seek investor approval to increase its number of shares to enable a stock split in the form of a dividend, the electric-car maker said on Monday, sending its shares up about 5%. T… [+34 chars]",Reuters
27,Amanda Breen,Elon Musk Opens New Tesla Factory as the Company Struggles to Keep Up With Demand,Covid-19 continues to pose production challenges for Tesla.,https://www.entrepreneur.com/article/422827,https://assets.entrepreneur.com/content/3x2/2000/1647962065-GettyImages-491956836.jpg,2022-03-22T15:00:00Z,"Some good news came today for those waiting on Tesla to fulfill their Model Y and Model 3 orders: Elon Musk will officially open his electric-vehicle maker's first factory in Europe on Tuesday, per a… [+1992 chars]",Entrepreneur
28,Emily Rella,Elon Musk Offers to Buy Twitter for $43 Billion: 'It's a High Price and Your Shareholders Will Love It',The Tesla CEO shared a new SEC filing via Twitter early Thursday morning.,https://www.entrepreneur.com/article/424797,https://assets.entrepreneur.com/content/3x2/2000/1649947331-GettyImages-1238365926.jpg,2022-04-14T13:20:00Z,What started as friendly banter that seemed to turn into a lucrative and cohesive partnership between Elon Musk and Twitter has now become a hostile clash of power that just took another pricey turn.… [+4086 chars],Entrepreneur
29,Emily Rella,Tesla Has Reportedly Been Using Bots Since 2013 to Manipulate Stock Prices,"New research finds that Twitter bots have long been cheerleading for Tesla, but to what end?",https://www.entrepreneur.com/article/424590,https://assets.entrepreneur.com/content/3x2/2000/1649784963-GettyImages-493893234.jpg,2022-04-12T17:36:35Z,"One of the most controversial facets of social media is how much influence a single user can have on how people view real-world happenings. On Twitter in particular, the surge of trending topics and … [+2544 chars]",Entrepreneur
